,Year,Date,Team1,Team2,Result,GameResult
402,1989,1989-07-05,삼성,해태,L 2:5,1
403,1989,1989-07-05,해태,삼성,W 5:2,1
404,1989,1989-07-06,MBC,OB,L 0:1,1
405,1989,1989-07-06,OB,MBC,W 1:0,1
406,1989,1989-07-06,롯데,빙그레,L 2:7,1
407,1989,1989-07-06,빙그레,롯데,W 7:2,1
408,1989,1989-07-06,삼성,해태,L 0:10,1
409,1989,1989-07-06,해태,삼성,W 10:0,1
410,1989,1989-07-07,MBC,롯데,W 2:1,1
411,1989,1989-07-07,롯데,MBC,L 1:2,1
412,1989,1989-07-07,빙그레,해태,W 3:1,1
413,1989,1989-07-07,삼성,태평양,D 10:10,1
414,1989,1989-07-07,태평양,삼성,D 10:10,1
415,1989,1989-07-07,해태,빙그레,L 1:3,1
416,1989,1989-07-09,MBC,롯데,L 2:11,1
417,1989,1989-07-09,롯데,MBC,W 11:2,1
418,1989,1989-07-10,MBC,롯데,L 2:5,1
419,1989,1989-07-10,롯데,MBC,W 5:2,1
420,1989,1989-07-10,빙그레,해태,W 6:2,1
421,1989,1989-07-10,삼성,태평양,L 4:23,1
422,1989,1989-07-10,태평양,삼성,W 23:4,1
423,1989,1989-07-10,해태,빙그레,L 2:6,1
424,1989,1989-07-12,MBC,해태,L 1:2,1
425,1989,1989-07-12,OB,태평양,L 1:2,1
426,1989,1989-07-12,태평양,OB,W 2:1,1
427,1989,1989-07-12,해태,MBC,W 2:1,1
428,1989,1989-07-13,MBC,해태,W 9:5,1
429,1989,1989-07-13,OB,태평양,L 2:5,1
430,1989,1989-07-13,롯데,삼성,W 10:3,1
431,1989,1989-07-13,삼성,롯데,L 3:10,1
432,1989,1989-07-13,태평양,OB,W 5:2,1
433,1989,1989-07-13,해태,MBC,L 5:9,1
434,1989,1989-07-14,MBC,삼성,W 9:7,1
435,1989,1989-07-14,OB,빙그레,L 1:4,1
436,1989,1989-07-14,빙그레,OB,W 4:1,1
437,1989,1989-07-14,삼성,MBC,L 7:9,1
438,1989,1989-07-14,태평양,해태,W 6:4,1
439,1989,1989-07-14,해태,태평양,L 4:6,1
440,1989,1989-07-15,OB,빙그레,W 9:4,1
441,1989,1989-07-15,빙그레,OB,L 4:9,1
442,1989,1989-07-16,OB,빙그레,W 4:2,1
443,1989,1989-07-16,빙그레,OB,L 2:4,1
444,1989,1989-07-17,MBC,삼성,W 7:6,1
445,1989,1989-07-17,삼성,MBC,L 6:7,1
446,1989,1989-07-17,태평양,해태,L 3:4,1
447,1989,1989-07-17,해태,태평양,W 4:3,1
448,1989,1989-07-18,MBC,OB,L 5:6,1
449,1989,1989-07-18,OB,MBC,W 6:5,1
450,1989,1989-07-18,롯데,해태,W 7:3,1
451,1989,1989-07-18,빙그레,삼성,W 12:5,1
452,1989,1989-07-18,삼성,빙그레,L 5:12,1
453,1989,1989-07-18,해태,롯데,L 3:7,1
454,1989,1989-07-19,MBC,OB,W 10:4,1
455,1989,1989-07-19,OB,MBC,L 4:10,1
456,1989,1989-07-19,롯데,해태,L 1:3,1
457,1989,1989-07-19,빙그레,삼성,L 3:5,1
458,1989,1989-07-19,삼성,빙그레,W 5:3,1
459,1989,1989-07-19,해태,롯데,W 3:1,1
460,1989,1989-07-20,빙그레,삼성,W 7:3,1
461,1989,1989-07-20,삼성,빙그레,L 3:7,1
462,1989,1989-07-21,MBC,빙그레,L 4:5,1
463,1989,1989-07-21,OB,롯데,L 1:6,1
464,1989,1989-07-21,롯데,OB,W 6:1,1
465,1989,1989-07-21,빙그레,MBC,W 5:4,1
466,1989,1989-07-21,삼성,태평양,W 4:1,1
467,1989,1989-07-21,태평양,삼성,L 1:4,1
468,1989,1989-07-22,MBC,빙그레,L 3:10,1
469,1989,1989-07-22,OB,롯데,W 5:4,1
470,1989,1989-07-22,롯데,OB,L 4:5,1
471,1989,1989-07-22,빙그레,MBC,W 10:3,1
472,1989,1989-07-22,삼성,태평양,L 2:6,1
473,1989,1989-07-22,태평양,삼성,W 6:2,1
474,1989,1989-07-23,MBC,빙그레,L 1:7,1
475,1989,1989-07-23,OB,롯데,L 2:3,1
476,1989,1989-07-23,롯데,OB,W 3:2,1
477,1989,1989-07-23,빙그레,MBC,W 7:1,1
478,1989,1989-07-23,삼성,태평양,W 7:1,1
479,1989,1989-07-23,태평양,삼성,L 1:7,1
480,1989,1989-07-26,OB,삼성,W 5:4,1
481,1989,1989-07-26,빙그레,태평양,L 6:7,1
482,1989,1989-07-26,삼성,OB,L 4:5,1
483,1989,1989-07-26,태평양,빙그레,W 7:6,1
484,1989,1989-07-27,롯데,해태,W 2:1,1
485,1989,1989-07-27,해태,롯데,L 1:2,1
486,1989,1989-07-28,MBC,태평양,L 1:2,1
487,1989,1989-07-28,롯데,빙그레,W 6:1,1
488,1989,1989-07-28,빙그레,롯데,L 1:6,1
489,1989,1989-07-28,태평양,MBC,W 2:1,1
490,1989,1989-07-29,MBC,태평양,L 4:6,1
491,1989,1989-07-29,롯데,빙그레,L 2:3,1
492,1989,1989-07-29,빙그레,롯데,W 3:2,1
493,1989,1989-07-29,태평양,MBC,W 6:4,1
494,1989,1989-07-30,MBC,태평양,W 3:2,1
495,1989,1989-07-30,OB,해태,D 3:3,1
496,1989,1989-07-30,롯데,빙그레,L 3:15,1
497,1989,1989-07-30,빙그레,롯데,W 15:3,1
498,1989,1989-07-30,태평양,MBC,L 2:3,1
499,1989,1989-07-30,해태,OB,D 3:3,1
