,Year,Team1,Game_idx,dummy_draw,dummy_lose,dummy_win,cum_win,cum_draw,cum_lose,Wpct
327,1989,롯데,88,0,1,0,35,3,50,0.4117647058823529
328,1989,롯데,89,0,0,1,36,3,50,0.4186046511627907
329,1989,롯데,90,0,0,1,37,3,50,0.42528735632183906
330,1989,롯데,91,0,0,1,38,3,50,0.4318181818181818
331,1989,롯데,92,0,0,1,39,3,50,0.43820224719101125
332,1989,롯데,93,0,1,0,39,3,51,0.43333333333333335
333,1989,롯데,94,0,1,0,39,3,52,0.42857142857142855
334,1989,롯데,95,0,1,0,39,3,53,0.42391304347826086
335,1989,롯데,96,0,0,1,40,3,53,0.43010752688172044
336,1989,롯데,97,0,0,1,41,3,53,0.43617021276595747
337,1989,롯데,98,0,1,0,41,3,54,0.43157894736842106
338,1989,롯데,99,0,1,0,41,3,55,0.4270833333333333
339,1989,롯데,100,0,1,0,41,3,56,0.422680412371134
340,1989,롯데,101,1,0,0,41,4,56,0.422680412371134
341,1989,롯데,102,0,1,0,41,4,57,0.41836734693877553
342,1989,롯데,103,0,0,1,42,4,57,0.42424242424242425
343,1989,롯데,104,0,1,0,42,4,58,0.42
344,1989,롯데,105,0,0,1,43,4,58,0.42574257425742573
345,1989,롯데,106,0,1,0,43,4,59,0.4215686274509804
346,1989,롯데,107,0,0,1,44,4,59,0.42718446601941745
347,1989,롯데,108,0,1,0,44,4,60,0.4230769230769231
348,1989,롯데,109,0,1,0,44,4,61,0.41904761904761906
349,1989,롯데,110,0,1,0,44,4,62,0.41509433962264153
350,1989,롯데,111,0,1,0,44,4,63,0.411214953271028
351,1989,롯데,112,1,0,0,44,5,63,0.411214953271028
352,1989,롯데,113,0,1,0,44,5,64,0.4074074074074074
353,1989,롯데,114,0,0,1,45,5,64,0.41284403669724773
354,1989,롯데,115,0,1,0,45,5,65,0.4090909090909091
355,1989,롯데,116,0,1,0,45,5,66,0.40540540540540543
356,1989,롯데,117,0,1,0,45,5,67,0.4017857142857143
357,1989,롯데,118,0,0,1,46,5,67,0.40707964601769914
358,1989,롯데,119,0,0,1,47,5,67,0.41228070175438597
359,1989,롯데,120,0,0,1,48,5,67,0.41739130434782606
360,1989,빙그레,1,0,1,0,0,0,1,0.0
361,1989,빙그레,2,0,0,1,1,0,1,0.5
362,1989,빙그레,3,0,1,0,1,0,2,0.3333333333333333
363,1989,빙그레,4,0,0,1,2,0,2,0.5
364,1989,빙그레,5,0,1,0,2,0,3,0.4
365,1989,빙그레,6,0,1,0,2,0,4,0.3333333333333333
366,1989,빙그레,7,1,0,0,2,1,4,0.3333333333333333
367,1989,빙그레,8,0,0,1,3,1,4,0.42857142857142855
368,1989,빙그레,9,0,0,1,4,1,4,0.5
369,1989,빙그레,10,0,0,1,5,1,4,0.5555555555555556
370,1989,빙그레,11,0,0,1,6,1,4,0.6
371,1989,빙그레,12,0,1,0,6,1,5,0.5454545454545454
372,1989,빙그레,13,0,0,1,7,1,5,0.5833333333333334
373,1989,빙그레,14,0,1,0,7,1,6,0.5384615384615384
374,1989,빙그레,15,0,0,1,8,1,6,0.5714285714285714
375,1989,빙그레,16,0,0,1,9,1,6,0.6
376,1989,빙그레,17,0,0,1,10,1,6,0.625
377,1989,빙그레,18,0,0,1,11,1,6,0.6470588235294118
378,1989,빙그레,19,1,0,0,11,2,6,0.6470588235294118
379,1989,빙그레,20,0,0,1,12,2,6,0.6666666666666666
380,1989,빙그레,21,0,1,0,12,2,7,0.631578947368421
381,1989,빙그레,22,0,0,1,13,2,7,0.65
382,1989,빙그레,23,0,0,1,14,2,7,0.6666666666666666
383,1989,빙그레,24,0,1,0,14,2,8,0.6363636363636364
384,1989,빙그레,25,0,0,1,15,2,8,0.6521739130434783
385,1989,빙그레,26,0,0,1,16,2,8,0.6666666666666666
386,1989,빙그레,27,0,0,1,17,2,8,0.68
387,1989,빙그레,28,0,1,0,17,2,9,0.6538461538461539
388,1989,빙그레,29,0,1,0,17,2,10,0.6296296296296297
389,1989,빙그레,30,0,0,1,18,2,10,0.6428571428571429
390,1989,빙그레,31,0,1,0,18,2,11,0.6206896551724138
391,1989,빙그레,32,0,0,1,19,2,11,0.6333333333333333
392,1989,빙그레,33,0,0,1,20,2,11,0.6451612903225806
393,1989,빙그레,34,0,1,0,20,2,12,0.625
394,1989,빙그레,35,0,0,1,21,2,12,0.6363636363636364
395,1989,빙그레,36,0,0,1,22,2,12,0.6470588235294118
396,1989,빙그레,37,0,1,0,22,2,13,0.6285714285714286
397,1989,빙그레,38,0,0,1,23,2,13,0.6388888888888888
398,1989,빙그레,39,0,1,0,23,2,14,0.6216216216216216
399,1989,빙그레,40,0,1,0,23,2,15,0.6052631578947368
400,1989,빙그레,41,0,1,0,23,2,16,0.5897435897435898
401,1989,빙그레,42,0,0,1,24,2,16,0.6
402,1989,빙그레,43,0,1,0,24,2,17,0.5853658536585366
403,1989,빙그레,44,0,0,1,25,2,17,0.5952380952380952
404,1989,빙그레,45,0,0,1,26,2,17,0.6046511627906976
405,1989,빙그레,46,0,0,1,27,2,17,0.6136363636363636
406,1989,빙그레,47,0,0,1,28,2,17,0.6222222222222222
407,1989,빙그레,48,0,1,0,28,2,18,0.6086956521739131
408,1989,빙그레,49,0,1,0,28,2,19,0.5957446808510638
409,1989,빙그레,50,0,0,1,29,2,19,0.6041666666666666
410,1989,빙그레,51,0,1,0,29,2,20,0.5918367346938775
411,1989,빙그레,52,0,1,0,29,2,21,0.58
412,1989,빙그레,53,0,0,1,30,2,21,0.5882352941176471
413,1989,빙그레,54,1,0,0,30,3,21,0.5882352941176471
414,1989,빙그레,55,0,0,1,31,3,21,0.5961538461538461
415,1989,빙그레,56,0,0,1,32,3,21,0.6037735849056604
416,1989,빙그레,57,0,1,0,32,3,22,0.5925925925925926
417,1989,빙그레,58,0,0,1,33,3,22,0.6
418,1989,빙그레,59,0,0,1,34,3,22,0.6071428571428571
419,1989,빙그레,60,0,0,1,35,3,22,0.6140350877192983
420,1989,빙그레,61,0,0,1,36,3,22,0.6206896551724138
421,1989,빙그레,62,0,1,0,36,3,23,0.6101694915254238
422,1989,빙그레,63,0,1,0,36,3,24,0.6
423,1989,빙그레,64,0,0,1,37,3,24,0.6065573770491803
424,1989,빙그레,65,0,1,0,37,3,25,0.5967741935483871
425,1989,빙그레,66,0,0,1,38,3,25,0.6031746031746031
426,1989,빙그레,67,0,0,1,39,3,25,0.609375
427,1989,빙그레,68,0,0,1,40,3,25,0.6153846153846154
428,1989,빙그레,69,0,0,1,41,3,25,0.6212121212121212
429,1989,빙그레,70,0,1,0,41,3,26,0.6119402985074627
430,1989,빙그레,71,0,1,0,41,3,27,0.6029411764705882
431,1989,빙그레,72,0,0,1,42,3,27,0.6086956521739131
432,1989,빙그레,73,0,0,1,43,3,27,0.6142857142857143
433,1989,빙그레,74,0,1,0,43,3,28,0.6056338028169014
434,1989,빙그레,75,0,0,1,44,3,28,0.6111111111111112
435,1989,빙그레,76,0,0,1,45,3,28,0.6164383561643836
436,1989,빙그레,77,0,1,0,45,3,29,0.6081081081081081
437,1989,빙그레,78,0,1,0,45,3,30,0.6
438,1989,빙그레,79,0,1,0,45,3,31,0.5921052631578947
