rank,game_idx,win_diff,probability
1,35,0,0.4090909090909091
1,35,1,0.36363636363636365
1,35,2,0.22727272727272727
1,35,3,0.18181818181818182
1,35,4,0.09090909090909091
1,35,5,0.045454545454545456
1,35,6,0.0
1,35,7,0.0
1,36,-7,1.0
1,36,-6,1.0
1,36,-5,1.0
1,36,-4,1.0
1,36,-3,1.0
1,36,-2,0.9545454545454546
1,36,-1,0.7272727272727273
1,36,0,0.5454545454545454
1,36,1,0.45454545454545453
1,36,2,0.36363636363636365
1,36,3,0.22727272727272727
1,36,4,0.13636363636363635
1,36,5,0.045454545454545456
1,36,6,0.0
1,36,7,0.0
1,37,-7,1.0
1,37,-6,1.0
1,37,-5,1.0
1,37,-4,1.0
1,37,-3,1.0
1,37,-2,0.9130434782608695
1,37,-1,0.8260869565217391
1,37,0,0.6521739130434783
1,37,1,0.4782608695652174
1,37,2,0.43478260869565216
1,37,3,0.21739130434782608
1,37,4,0.043478260869565216
1,37,5,0.0
1,37,6,0.0
1,37,7,0.0
1,38,-7,1.0
1,38,-6,1.0
1,38,-5,1.0
1,38,-4,0.9523809523809523
1,38,-3,0.9523809523809523
1,38,-2,0.9047619047619048
1,38,-1,0.7142857142857143
1,38,0,0.6190476190476191
1,38,1,0.42857142857142855
1,38,2,0.3333333333333333
1,38,3,0.19047619047619047
1,38,4,0.047619047619047616
1,38,5,0.0
1,38,6,0.0
1,38,7,0.0
1,39,-7,1.0
1,39,-6,1.0
1,39,-5,1.0
1,39,-4,0.95
1,39,-3,0.95
1,39,-2,0.85
1,39,-1,0.6
1,39,0,0.55
1,39,1,0.55
1,39,2,0.3
1,39,3,0.15
1,39,4,0.05
1,39,5,0.05
1,39,6,0.0
1,39,7,0.0
1,40,-7,1.0
1,40,-6,1.0
1,40,-5,1.0
1,40,-4,1.0
1,40,-3,1.0
1,40,-2,0.9565217391304348
1,40,-1,0.8260869565217391
1,40,0,0.6086956521739131
1,40,1,0.5217391304347826
1,40,2,0.34782608695652173
1,40,3,0.08695652173913043
1,40,4,0.0
1,40,5,0.0
1,40,6,0.0
1,40,7,0.0
1,41,-7,1.0
1,41,-6,1.0
1,41,-5,1.0
1,41,-4,1.0
1,41,-3,0.9565217391304348
1,41,-2,0.9565217391304348
1,41,-1,0.7391304347826086
1,41,0,0.6086956521739131
1,41,1,0.391304347826087
1,41,2,0.34782608695652173
1,41,3,0.17391304347826086
1,41,4,0.043478260869565216
1,41,5,0.0
1,41,6,0.0
1,41,7,0.0
1,42,-7,1.0
1,42,-6,1.0
1,42,-5,1.0
1,42,-4,1.0
1,42,-3,1.0
1,42,-2,0.92
1,42,-1,0.76
1,42,0,0.56
1,42,1,0.44
1,42,2,0.24
1,42,3,0.12
1,42,4,0.08
1,42,5,0.04
1,42,6,0.0
1,42,7,0.0
1,43,-7,1.0
1,43,-6,1.0
1,43,-5,1.0
1,43,-4,1.0
1,43,-3,0.9615384615384616
1,43,-2,0.9615384615384616
1,43,-1,0.7307692307692307
1,43,0,0.5769230769230769
1,43,1,0.46153846153846156
1,43,2,0.2692307692307692
1,43,3,0.07692307692307693
1,43,4,0.038461538461538464
1,43,5,0.0
1,43,6,0.0
1,43,7,0.0
1,44,-7,1.0
1,44,-6,1.0
1,44,-5,1.0
1,44,-4,1.0
1,44,-3,1.0
1,44,-2,0.8076923076923077
1,44,-1,0.6923076923076923
1,44,0,0.5
1,44,1,0.4230769230769231
1,44,2,0.3076923076923077
1,44,3,0.15384615384615385
1,44,4,0.038461538461538464
1,44,5,0.038461538461538464
1,44,6,0.0
1,44,7,0.0
1,45,-7,1.0
1,45,-6,1.0
1,45,-5,1.0
1,45,-4,0.9565217391304348
1,45,-3,0.9565217391304348
1,45,-2,0.8695652173913043
1,45,-1,0.7391304347826086
1,45,0,0.6086956521739131
1,45,1,0.5217391304347826
1,45,2,0.34782608695652173
1,45,3,0.21739130434782608
1,45,4,0.0
1,45,5,0.0
1,45,6,0.0
1,45,7,0.0
1,46,-7,1.0
1,46,-6,1.0
1,46,-5,1.0
1,46,-4,0.9565217391304348
1,46,-3,0.8695652173913043
